,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20
0,1fbe8f642c1b6c23100534c9ef006089,2016-04-22 16:09:51,0,0.0,0.0,0.972164859728054,10,1946.5,1,39.0,1,21.8736,346.8,1,울산광역시,울주군,U,-2.508764046739132,,2016,D
1,1fbe8f642c1b6c23100534c9ef006089,2016-04-22 16:09:51,1,,,1.0950721625247486,13,1863.5,1,39.0,1,25.389,26.700000000000006,1,울산광역시,울주군,U,-2.508764046739132,,2016,D
2,1fbe8f642c1b6c23100534c9ef006089,2016-04-22 16:09:51,2,,,0.23472104294788604,15,1341.0,1,39.0,1,15.2334,21.5,2,울산광역시,울주군,U,-2.508764046739132,,2016,D
3,1fbe8f642c1b6c23100534c9ef006089,2016-04-22 16:09:51,3,,,0.20740830899306492,15,1255.5,1,39.0,1,16.7958,44.6,2,울산광역시,울주군,U,-2.508764046739132,,2016,D
4,1fbe8f642c1b6c23100534c9ef006089,2016-04-22 16:09:51,4,,,0.630755685292791,15,1238.0,1,39.0,1,6.2496,123.0,2,울산광역시,울주군,U,-2.508764046739132,,2016,D
5,1fbe8f642c1b6c23100534c9ef006089,2016-04-22 16:09:51,5,,,-0.21593906730666104,16,1320.0,1,39.75,1,0.0,186.4,2,울산광역시,울주군,U,-2.508764046739132,,2016,D
6,1fbe8f642c1b6c23100534c9ef006089,2016-04-22 16:09:51,6,,,-0.3115336361485347,14,1098.5,1,39.75,2,0.0,184.5,2,울산광역시,울주군,U,-2.508764046739132,,2016,D
7,1fbe8f642c1b6c23100534c9ef006089,2016-04-22 16:09:51,7,,,-0.18862633335184,11,943.5,0,40.5,1,14.8428,115.8,2,울산광역시,울주군,U,-2.508764046739132,,2016,D
8,1fbe8f642c1b6c23100534c9ef006089,2016-04-22 16:09:51,8,,,1.4091686030051904,11,2227.0,0,40.5,1,14.4522,87.5,1,울산광역시,울주군,U,-2.508764046739132,,2016,D
9,1fbe8f642c1b6c23100534c9ef006089,2016-04-22 16:09:51,9,,,-0.530035507787103,15,1235.0,0,40.5,2,0.0,6.800000000000002,1,울산광역시,울주군,U,-2.508764046739132,,2016,D
10,1fbe8f642c1b6c23100534c9ef006089,2016-04-22 16:09:51,10,,,-0.4207845719678188,13,1052.0,0,41.25,2,0.0,18.7,2,울산광역시,울주군,U,-2.508764046739132,,2016,D
11,1fbe8f642c1b6c23100534c9ef006089,2016-04-22 16:09:51,11,,,-0.5027227738322819,11,881.5,0,41.25,2,0.0,158.9,2,울산광역시,울주군,U,-2.508764046739132,,2016,D
12,1fbe8f642c1b6c23100534c9ef006089,2016-04-22 16:09:51,12,,,-0.21593906730666104,11,1089.0,0,42.0,1,12.4992,281.1,2,울산광역시,울주군,U,-2.508764046739132,,2016,D
13,1fbe8f642c1b6c23100534c9ef006089,2016-04-22 16:09:51,13,,,0.23472104294788604,12,1496.0,0,42.0,1,15.624,310.4000000000001,2,울산광역시,울주군,U,-2.508764046739132,,2016,D
