,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27
2096,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160422203558,20160422,203558,42.0,3564.0,2170.0,216.0,28.0,131.0,3332.0,1227.0,986.0,125.0,64.0,5734.0,34.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,45.0,골프장
2121,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160422224800,20160422,224800,14.0,1283.0,814.0,43.0,26.0,104.0,1192.0,542.0,310.0,53.0,0.0,2097.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,아파트
2132,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423000137,20160423,000137,112.0,4815.0,1542.0,441.0,68.0,201.0,2309.0,689.0,430.0,1304.0,1625.0,6357.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,음식점
2138,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423015206,20160423,015206,1.0,142.0,157.0,10.0,7.0,45.0,269.0,30.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,애견호텔
2139,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423015724,20160423,015724,2.0,99.0,4.0,3.0,79.0,144.0,22.0,13.0,20.0,23.0,25.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,아파트
2140,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423020021,20160423,020021,52.0,2218.0,812.0,7.0,67.0,197.0,973.0,208.0,666.0,750.0,433.0,3030.0,5.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,9.0,아파트
2192,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423094548,20160423,094548,24.0,2288.0,1807.0,149.0,23.0,142.0,2864.0,567.0,391.0,242.0,31.0,4095.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,애견샵
2225,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423115427,20160423,115427,27.0,2863.0,2137.0,1.0,21.0,93.0,3217.0,1219.0,559.0,5.0,0.0,5000.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,66.0,호텔
2266,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423134440,20160423,134440,1.0,305.0,482.0,25.0,5.0,44.0,742.0,45.0,0.0,0.0,0.0,787.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,학교/학원
2315,c4ff97b04d087c97fd9bcee05672ade6,H,20150612,20160423155957,20160423,155957,3.0,504.0,314.0,3.0,15.0,51.0,615.0,203.0,0.0,0.0,0.0,818.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,병원
