,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27
298,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160412171021,20160412,171021,1.0,343.0,126.0,8.0,15.0,52.0,377.0,92.0,0.0,0.0,0.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,호텔
313,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160412202356,20160412,202356,1.0,461.0,651.0,226.0,6.0,46.0,1017.0,95.0,0.0,0.0,0.0,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,음식점
476,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160415091950,20160415,091950,1.0,310.0,147.0,0.0,14.0,56.0,363.0,94.0,0.0,0.0,0.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,낚시터
481,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160415103139,20160415,103139,2.0,310.0,329.0,165.0,13.0,63.0,483.0,150.0,6.0,0.0,0.0,639.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,병원
486,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160415112104,20160415,112104,3.0,576.0,134.0,13.0,21.0,58.0,469.0,241.0,0.0,0.0,0.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,캠핑용품점
504,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160415154032,20160415,154032,1.0,118.0,75.0,22.0,5.0,16.0,193.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,아파트
505,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160415155116,20160415,155116,1.0,319.0,108.0,6.0,13.0,55.0,361.0,66.0,0.0,0.0,0.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,음식점
508,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160415162018,20160415,162018,1.0,382.0,216.0,9.0,10.0,54.0,519.0,79.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,아파트
534,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160415185854,20160415,185854,13.0,1184.0,430.0,68.0,32.0,88.0,805.0,434.0,375.0,0.0,0.0,1614.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,아파트
551,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160415205602,20160415,205602,13.0,1026.0,307.0,19.0,39.0,96.0,571.0,301.0,428.0,33.0,0.0,1333.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,아파트
623,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160416130143,20160416,130143,18.0,1010.0,232.0,5.0,56.0,124.0,430.0,115.0,391.0,296.0,10.0,1242.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,오피스
630,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160416134223,20160416,134223,85.0,3834.0,327.0,83.0,78.0,150.0,629.0,702.0,769.0,1574.0,487.0,4161.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,55.0,펜션
725,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160417112303,20160417,112303,112.0,5637.0,842.0,44.0,66.0,146.0,1493.0,1455.0,1300.0,1554.0,677.0,6479.0,28.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,109.0,아파트
764,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160417134118,20160417,134118,1.0,68.0,17.0,0.0,7.0,20.0,85.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,마트
952,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160418131935,20160418,131935,2.0,463.0,362.0,40.0,13.0,61.0,654.0,168.0,3.0,0.0,0.0,825.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,리조트
1114,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160419091915,20160419,091915,1.0,323.0,236.0,21.0,11.0,57.0,486.0,73.0,0.0,0.0,0.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,병원
1121,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160419101741,20160419,101741,1.0,263.0,223.0,13.0,6.0,35.0,480.0,6.0,0.0,0.0,0.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,아파트
1125,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160419104714,20160419,104714,1.0,367.0,172.0,71.0,10.0,50.0,499.0,40.0,0.0,0.0,0.0,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,마트
1165,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160419151314,20160419,151314,1.0,266.0,148.0,0.0,9.0,52.0,378.0,36.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,백화점
1166,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160419152612,20160419,152612,1.0,248.0,79.0,18.0,12.0,50.0,282.0,45.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,펜션
1900,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160422091643,20160422,091643,1.0,258.0,176.0,25.0,14.0,55.0,345.0,89.0,0.0,0.0,0.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,아파트
1918,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160422110259,20160422,110259,1.0,247.0,303.0,25.0,8.0,60.0,496.0,54.0,0.0,0.0,0.0,550.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,아파트
1931,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160422114809,20160422,114809,1.0,263.0,212.0,94.0,6.0,32.0,469.0,6.0,0.0,0.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,아파트
1936,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160422122123,20160422,122123,1.0,352.0,138.0,34.0,11.0,53.0,454.0,36.0,0.0,0.0,0.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,아파트
2002,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160422160951,20160422,160951,2.0,272.0,40.0,0.0,26.0,70.0,182.0,120.0,10.0,0.0,0.0,312.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,애견샵
2035,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160422171818,20160422,171818,4.0,325.0,64.0,44.0,41.0,91.0,143.0,117.0,128.0,1.0,0.0,389.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,아파트
2053,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160422182125,20160422,182125,6.0,789.0,158.0,41.0,26.0,75.0,589.0,272.0,86.0,0.0,0.0,947.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,아파트
2217,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160423112829,20160423,112829,2.0,407.0,286.0,0.0,11.0,43.0,652.0,41.0,0.0,0.0,0.0,693.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,오피스
2327,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160423162206,20160423,162206,12.0,1168.0,870.0,9.0,23.0,95.0,1289.0,479.0,257.0,13.0,0.0,2038.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,북악스카이웨이
2403,1fbe8f642c1b6c23100534c9ef006089,D,20150917,20160423194524,20160423,194524,12.0,1115.0,432.0,23.0,31.0,89.0,804.0,427.0,316.0,0.0,0.0,1547.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,아파트
